id_pago,id_producto,id_cliente,numero_cuota,fecha_pago,monto_capital,monto_interes,monto_total,dias_mora,monto_mora,metodo_pago
1,6,2AC70154,41,2022-05-10,171.1,73.33,244.43,0,0,Cheque
2,6,2AC70154,18,2023-03-25,79.45,34.05,113.5,0,0,Banca Móvil
3,6,2AC70154,31,2023-11-25,453.79,194.48,648.27,0,0,Banca Móvil
4,6,2AC70154,42,2023-07-06,1372.9,588.38,1961.28,0,0,Débito Automático
5,6,2AC70154,56,2023-08-29,1033.59,442.97,1476.56,0,0,Banca Móvil
6,6,2AC70154,50,2023-06-19,1006.82,431.49,1438.31,0,0,Débito Automático
7,6,2AC70154,24,2022-08-23,214.96,92.12,307.08,0,0,Banca Móvil
8,6,2AC70154,54,2022-06-23,534.34,229.0,763.34,0,0,Débito Automático
9,6,2AC70154,57,2023-12-11,1335.24,572.25,1907.49,0,0,Banca Móvil
10,6,2AC70154,30,2022-04-14,121.25,51.96,173.21,37,10.68,Transferencia
11,6,2AC70154,10,2022-10-30,1154.56,494.81,1649.37,45,123.7,Efectivo
12,6,2AC70154,40,2023-04-02,85.3,36.56,121.86,0,0,Transferencia
13,6,2AC70154,5,2022-02-14,262.0,112.29,374.29,29,18.09,Banca Móvil
14,6,2AC70154,13,2023-01-10,672.06,288.03,960.09,51,81.61,Transferencia
15,6,2AC70154,8,2022-12-22,333.4,142.88,476.28,0,0,Banca Móvil
16,6,2AC70154,11,2022-11-04,590.23,252.96,843.19,0,0,Transferencia
17,6,2AC70154,37,2022-02-15,561.02,240.44,801.46,42,56.1,Débito Automático
18,6,2AC70154,41,2022-01-23,551.78,236.48,788.26,7,9.2,Transferencia
19,6,2AC70154,21,2022-06-01,389.85,167.08,556.93,0,0,Cheque
20,6,2AC70154,9,2023-01-23,1137.07,487.31,1624.38,0,0,Banca Móvil
21,6,2AC70154,21,2022-04-01,1143.01,489.86,1632.87,0,0,Transferencia
22,6,2AC70154,29,2022-04-11,1318.69,565.15,1883.84,39,122.45,Banca Móvil
23,6,2AC70154,7,2023-05-14,253.36,108.58,361.95,0,0,Banca Móvil
24,6,2AC70154,46,2023-04-23,685.23,293.67,978.9,0,0,Banca Móvil
25,6,2AC70154,52,2023-06-19,1051.11,450.47,1501.58,0,0,Banca Móvil
26,6,2AC70154,30,2022-05-11,771.9,330.81,1102.71,33,60.65,Efectivo
27,6,2AC70154,6,2023-05-31,712.87,305.51,1018.38,0,0,Transferencia
28,6,2AC70154,32,2022-12-27,642.7,275.44,918.15,0,0,Cheque
29,6,2AC70154,9,2022-08-29,621.51,266.36,887.87,6,8.88,Banca Móvil
30,6,2AC70154,29,2022-10-26,782.85,335.51,1118.36,0,0,Cheque
31,6,2AC70154,19,2023-12-27,236.71,101.45,338.16,16,9.02,Cheque
32,6,2AC70154,49,2022-01-18,713.14,305.63,1018.77,0,0,Transferencia
33,7,2AC70154,7,2023-12-23,1083.14,464.2,1547.35,0,0,Banca Móvil
34,7,2AC70154,39,2022-02-14,88.92,38.11,127.03,0,0,Transferencia
35,7,2AC70154,46,2022-10-14,485.96,208.27,694.23,0,0,Cheque
36,7,2AC70154,41,2022-06-05,235.7,101.02,336.72,52,29.18,Banca Móvil
37,7,2AC70154,59,2023-06-26,316.04,135.45,451.49,52,39.13,Banca Móvil
38,7,2AC70154,41,2022-01-13,1311.53,562.09,1873.62,0,0,Débito Automático
39,7,2AC70154,6,2023-06-29,1106.3,474.13,1580.43,0,0,Transferencia
40,7,2AC70154,59,2023-04-30,1294.94,554.97,1849.91,0,0,Transferencia
41,7,2AC70154,3,2022-05-27,1060.42,454.46,1514.88,40,100.99,Cheque
42,7,2AC70154,15,2023-08-14,182.44,78.19,260.63,0,0,Débito Automático
43,7,2AC70154,11,2023-12-24,1051.92,450.82,1502.75,26,65.12,Banca Móvil
44,7,2AC70154,48,2022-02-15,1340.39,574.45,1914.85,0,0,Efectivo
45,7,2AC70154,29,2023-10-21,1297.2,555.94,1853.14,0,0,Banca Móvil
46,7,2AC70154,23,2023-12-30,430.94,184.69,615.63,0,0,Débito Automático
47,7,2AC70154,49,2023-10-07,412.36,176.73,589.09,41,40.25,Banca Móvil
48,7,2AC70154,24,2023-12-17,763.31,327.13,1090.44,0,0,Débito Automático
49,7,2AC70154,9,2022-11-16,559.66,239.86,799.52,48,63.96,Transferencia
50,9,E02507A7,51,2022-12-05,1243.06,532.74,1775.8,0,0,Transferencia
51,9,E02507A7,29,2023-07-09,344.01,147.43,491.44,36,29.49,Transferencia
52,9,E02507A7,42,2022-10-24,591.59,253.54,845.13,0,0,Débito Automático
53,9,E02507A7,22,2022-12-17,1241.53,532.09,1773.62,0,0,Transferencia
54,9,E02507A7,35,2022-01-07,640.04,274.3,914.34,23,35.05,Cheque
55,9,E02507A7,9,2023-04-01,1187.47,508.92,1696.39,0,0,Efectivo
56,9,E02507A7,16,2022-05-28,395.12,169.34,564.46,0,0,Cheque
57,9,E02507A7,55,2022-12-24,924.8,396.35,1321.15,0,0,Cheque
58,9,E02507A7,60,2023-03-22,709.32,304.0,1013.32,50,84.44,Débito Automático
59,9,E02507A7,35,2022-06-28,378.02,162.01,540.03,0,0,Transferencia
60,9,E02507A7,48,2022-02-17,1377.6,590.4,1968.0,0,0,Banca Móvil
61,9,E02507A7,12,2023-07-17,857.33,367.43,1224.76,37,75.53,Efectivo
62,9,E02507A7,29,2023-02-16,236.75,101.46,338.21,0,0,Transferencia
63,9,E02507A7,52,2022-10-09,539.04,231.02,770.06,0,0,Transferencia
64,9,E02507A7,21,2022-10-16,168.15,72.06,240.21,0,0,Transferencia
65,9,E02507A7,54,2022-03-16,1313.42,562.89,1876.31,54,168.87,Banca Móvil
66,9,E02507A7,1,2023-11-13,84.35,36.15,120.5,0,0,Débito Automático
67,9,E02507A7,55,2022-05-08,118.94,50.97,169.91,0,0,Cheque
68,9,E02507A7,45,2022-02-20,548.86,235.23,784.09,0,0,Débito Automático
69,9,E02507A7,50,2023-02-07,929.13,398.2,1327.33,0,0,Cheque
70,9,E02507A7,49,2022-03-19,1218.56,522.24,1740.8,0,0,Transferencia
71,9,E02507A7,11,2023-04-19,1268.2,543.52,1811.72,0,0,Transferencia
72,9,E02507A7,17,2023-03-21,431.19,184.8,615.99,0,0,Banca Móvil
73,9,E02507A7,5,2022-05-24,659.43,282.61,942.04,0,0,Cheque
74,9,E02507A7,25,2023-03-08,823.9,353.1,1177.0,1,1.96,Transferencia
75,9,E02507A7,49,2022-11-25,453.29,194.27,647.56,0,0,Débito Automático
76,9,E02507A7,58,2023-02-16,679.03,291.01,970.04,0,0,Efectivo
77,9,E02507A7,19,2022-07-07,257.1,110.19,367.29,43,26.32,Cheque
78,9,E02507A7,21,2022-02-23,842.65,361.14,1203.79,0,0,Transferencia
79,9,E02507A7,15,2023-08-28,823.85,353.08,1176.93,47,92.19,Banca Móvil
80,31,27371E59,26,2022-05-18,880.92,377.54,1258.46,0,0,Cheque
81,31,27371E59,7,2023-09-15,667.9,286.24,954.14,31,49.3,Banca Móvil
82,31,27371E59,2,2023-05-08,244.06,104.6,348.66,39,22.66,Transferencia
83,31,27371E59,7,2022-09-05,323.41,138.61,462.02,49,37.73,Cheque
84,31,27371E59,50,2022-05-06,1315.54,563.8,1879.35,0,0,Efectivo
85,31,27371E59,29,2022-03-09,633.88,271.66,905.55,0,0,Banca Móvil
86,31,27371E59,26,2022-03-14,1013.42,434.32,1447.74,0,0,Cheque
87,31,27371E59,16,2022-12-08,1390.56,595.95,1986.51,0,0,Débito Automático
88,31,27371E59,33,2022-09-24,403.72,173.03,576.75,0,0,Banca Móvil
89,31,27371E59,13,2022-12-30,99.76,42.76,142.52,0,0,Transferencia
90,31,27371E59,31,2022-06-11,587.47,251.77,839.25,8,11.19,Cheque
91,31,27371E59,48,2022-09-20,1350.71,578.87,1929.58,0,0,Cheque
92,31,27371E59,42,2023-10-08,743.95,318.84,1062.79,0,0,Débito Automático
93,31,27371E59,21,2023-03-18,894.7,383.44,1278.14,0,0,Banca Móvil
94,31,27371E59,11,2023-12-04,1276.97,547.27,1824.24,0,0,Efectivo
95,31,27371E59,49,2023-08-27,107.27,45.97,153.24,0,0,Efectivo
96,31,27371E59,38,2023-11-28,286.76,122.9,409.66,0,0,Efectivo
97,31,27371E59,44,2022-09-24,1378.17,590.64,1968.81,47,154.22,Banca Móvil
98,31,27371E59,43,2022-07-13,1183.75,507.32,1691.07,0,0,Efectivo
99,31,27371E59,33,2023-12-30,911.48,390.63,1302.11,58,125.87,Cheque
100,31,27371E59,49,2022-10-01,1022.57,438.25,1460.82,0,0,Débito Automático
101,31,27371E59,56,2022-02-23,416.78,178.62,595.4,7,6.95,Transferencia
102,31,27371E59,36,2023-11-15,801.15,343.35,1144.5,0,0,Efectivo
103,31,27371E59,20,2023-03-08,702.97,301.27,1004.25,0,0,Cheque
104,31,27371E59,32,2023-05-04,725.44,310.9,1036.34,0,0,Cheque
105,31,27371E59,49,2023-11-17,1167.07,500.17,1667.25,0,0,Débito Automático
106,31,27371E59,24,2022-08-28,602.97,258.41,861.38,0,0,Transferencia
107,31,27371E59,18,2022-05-09,1330.88,570.38,1901.26,44,139.43,Banca Móvil
108,31,27371E59,16,2022-09-17,656.8,281.49,938.29,8,12.51,Cheque
109,38,8ECDAC0F,51,2023-04-30,1340.57,574.53,1915.1,0,0,Cheque
110,38,8ECDAC0F,42,2022-08-30,505.57,216.67,722.25,0,0,Débito Automático
111,38,8ECDAC0F,44,2023-05-19,1352.55,579.67,1932.22,0,0,Efectivo
112,38,8ECDAC0F,42,2022-11-23,1152.91,494.11,1647.02,0,0,Efectivo
113,38,8ECDAC0F,58,2022-08-08,830.47,355.92,1186.39,43,85.02,Efectivo
114,40,88FFBC21,1,2022-05-13,261.59,112.11,373.7,40,24.91,Banca Móvil
115,40,88FFBC21,56,2023-04-15,688.95,295.26,984.21,0,0,Débito Automático
116,40,88FFBC21,32,2023-02-11,918.61,393.69,1312.3,0,0,Efectivo
117,42,88FFBC21,36,2023-08-10,1264.82,542.06,1806.88,10,30.11,Débito Automático
118,42,88FFBC21,35,2022-04-07,723.18,309.94,1033.12,0,0,Banca Móvil
119,42,88FFBC21,37,2023-07-04,991.88,425.09,1416.97,0,0,Transferencia
120,42,88FFBC21,49,2022-08-10,558.59,239.4,797.99,33,43.89,Transferencia
121,42,88FFBC21,11,2023-06-15,1056.05,452.59,1508.64,27,67.89,Débito Automático
122,42,88FFBC21,40,2023-09-19,663.87,284.51,948.38,0,0,Cheque
123,42,88FFBC21,38,2022-03-21,605.46,259.48,864.94,0,0,Débito Automático
124,42,88FFBC21,55,2022-06-05,740.81,317.49,1058.3,0,0,Cheque
125,42,88FFBC21,34,2023-09-14,1182.22,506.67,1688.89,34,95.7,Efectivo
126,42,88FFBC21,36,2022-07-18,219.67,94.14,313.81,0,0,Banca Móvil
127,42,88FFBC21,43,2023-09-29,550.26,235.83,786.09,0,0,Efectivo
128,42,88FFBC21,45,2023-10-24,524.29,224.7,748.99,0,0,Débito Automático
129,42,88FFBC21,21,2023-06-24,320.75,137.47,458.22,0,0,Transferencia
130,42,88FFBC21,45,2022-12-24,81.4,34.89,116.29,35,6.78,Débito Automático
131,42,88FFBC21,37,2023-09-02,756.06,324.02,1080.08,58,104.41,Débito Automático
132,42,88FFBC21,14,2022-10-20,506.95,217.26,724.21,0,0,Débito Automático
133,42,88FFBC21,28,2023-11-22,797.15,341.64,1138.79,22,41.76,Cheque
134,42,88FFBC21,40,2022-11-17,946.42,405.61,1352.03,0,0,Banca Móvil
135,42,88FFBC21,53,2023-04-04,217.06,93.03,310.09,0,0,Efectivo
136,42,88FFBC21,40,2023-02-13,735.99,315.43,1051.42,22,38.55,Transferencia
137,42,88FFBC21,41,2023-12-12,1030.1,441.47,1471.57,0,0,Banca Móvil
138,42,88FFBC21,36,2022-09-29,395.28,169.41,564.69,14,13.18,Banca Móvil
139,45,E93BF61A,42,2022-11-25,139.13,59.63,198.76,0,0,Banca Móvil
140,45,E93BF61A,30,2022-05-07,212.76,91.18,303.95,0,0,Efectivo
141,45,E93BF61A,43,2023-11-30,1366.37,585.59,1951.96,0,0,Cheque
142,45,E93BF61A,3,2023-09-26,1101.02,471.86,1572.88,0,0,Cheque
143,45,E93BF61A,23,2022-08-19,879.49,376.93,1256.42,38,79.57,Cheque
144,45,E93BF61A,49,2023-05-03,367.07,157.31,524.38,49,42.82,Banca Móvil
145,45,E93BF61A,20,2022-03-19,635.4,272.32,907.72,0,0,Efectivo
146,45,E93BF61A,20,2023-11-07,125.6,53.83,179.43,0,0,Banca Móvil
147,45,E93BF61A,53,2022-03-31,764.73,327.74,1092.47,0,0,Banca Móvil
148,49,52E7254D,50,2022-08-04,132.98,56.99,189.97,0,0,Efectivo
149,49,52E7254D,39,2023-11-26,1190.52,510.22,1700.74,0,0,Transferencia
150,49,52E7254D,29,2022-07-08,1340.58,574.54,1915.12,59,188.32,Efectivo
151,49,52E7254D,25,2023-08-14,243.05,104.16,347.21,28,16.2,Débito Automático
152,49,52E7254D,45,2022-06-29,914.13,391.77,1305.9,0,0,Efectivo
153,49,52E7254D,31,2022-05-19,1116.33,478.43,1594.76,0,0,Transferencia
154,49,52E7254D,8,2022-06-29,136.15,58.35,194.5,0,0,Efectivo
155,49,52E7254D,35,2023-07-15,228.66,98.0,326.66,0,0,Débito Automático
156,49,52E7254D,18,2023-04-29,369.45,158.33,527.78,0,0,Transferencia
157,49,52E7254D,17,2022-09-12,967.78,414.76,1382.54,0,0,Cheque
