id_producto,id_cliente,tipo_producto,estado_producto,fecha_apertura,fecha_vencimiento,saldo_actual,limite_credito,tasa_interes,moneda,sucursal_apertura
1,EF4FC95C,Cuenta Corriente,Vencido,2023-10-14,,19196.71,0,0,JPY,Sucursal 9 - Centro
2,EF4FC95C,Inversión a Plazo,En proceso de aprobación,2019-08-06,2021-06-24,83169.04,0,14.45,GBP,Sucursal 16 - Centro
3,EF4FC95C,Seguro Automóvil,Inactivo,2022-07-20,,69264.54,0,0,USD,Sucursal 10 - Norte
4,EF4FC95C,Leasing,Bloqueado,2020-10-29,,98562.9,0,0,JPY,Sucursal 20 - Este
5,EF4FC95C,Leasing,Cancelado,2021-09-21,,28755.15,0,0,CLP,Sucursal 20 - Este
6,2AC70154,Tarjeta Crédito,Activo,2022-03-25,2026-06-13,25571.57,40779.3,2.63,CLP,Sucursal 4 - Norte
7,2AC70154,Préstamo Hipotecario,Bloqueado,2022-12-27,2023-11-21,2578.32,3992.09,14.54,JPY,Sucursal 20 - Este
8,E02507A7,Inversión a Plazo,Activo,2022-10-04,2025-09-20,63669.44,0,23.68,ARS,Sucursal 8 - Oeste
9,E02507A7,Préstamo Hipotecario,Cerrado,2018-09-30,2021-12-21,14521.66,19302.74,24.43,USD,Sucursal 2 - Sur
10,E02507A7,Leasing,Moroso,2023-11-28,,81776.6,0,0,EUR,Sucursal 14 - Norte
11,E02507A7,Seguro Vida,Inactivo,2020-01-23,,38949.13,0,0,CLP,Sucursal 14 - Norte
12,92EE8AFB,Inversión a Plazo,Inactivo,2019-04-27,2019-10-17,73458.18,0,24.6,COP,Sucursal 7 - Norte
13,92EE8AFB,Cuenta Corriente,Inactivo,2018-05-19,,63518.8,0,0,MXN,Sucursal 15 - Sur
14,92EE8AFB,Seguro Vida,Activo,2021-11-02,,22289.46,0,0,EUR,Sucursal 2 - Sur
15,92EE8AFB,Seguro Automóvil,Activo,2021-02-05,,6680.4,0,0,COP,Sucursal 3 - Este
16,92EE8AFB,Seguro Hogar,Inactivo,2018-12-23,,50284.0,0,0,BRL,Sucursal 15 - Sur
17,C47A1156,Seguro Hogar,Bloqueado,2021-02-10,,88663.71,0,0,BRL,Sucursal 17 - Norte
18,C47A1156,Leasing,Cerrado,2018-11-22,,45741.28,0,0,MXN,Sucursal 1 - Oeste
19,C47A1156,Fondo Mutuo,Activo,2019-02-16,2020-01-09,89343.84,0,7.57,GBP,Sucursal 12 - Sur
20,C346C33B,Seguro Hogar,Moroso,2022-04-02,,1540.75,0,0,PEN,Sucursal 14 - Norte
21,C346C33B,Inversión a Plazo,Activo,2020-10-17,2022-07-10,2835.12,0,20.68,BRL,Sucursal 18 - Oeste
22,C346C33B,Cuenta Ahorros,Cancelado,2018-09-29,,43047.23,0,0,CLP,Sucursal 18 - Oeste
23,829005E1,Inversión a Plazo,Activo,2023-10-17,2024-04-26,42818.61,0,23.22,JPY,Sucursal 16 - Centro
24,829005E1,Seguro Vida,Moroso,2020-07-14,,62935.02,0,0,GBP,Sucursal 7 - Norte
25,829005E1,Cuenta Ahorros,Moroso,2023-03-13,,47944.94,0,0,PEN,Sucursal 19 - Norte
26,829005E1,CDT,Bloqueado,2021-05-06,2022-07-11,68976.12,0,20.85,JPY,Sucursal 3 - Este
27,829005E1,Leasing,Bloqueado,2020-04-18,,84427.58,0,0,BRL,Sucursal 15 - Sur
28,234AE080,Cuenta Corriente,Vencido,2020-10-05,,81054.11,0,0,COP,Sucursal 16 - Centro
29,234AE080,Inversión a Plazo,Bloqueado,2019-01-11,2019-07-06,17664.2,0,1.4,MXN,Sucursal 9 - Centro
30,27371E59,Seguro Vida,Bloqueado,2021-03-13,,40335.29,0,0,EUR,Sucursal 4 - Norte
31,27371E59,Préstamo Personal,Activo,2022-03-15,2023-05-24,40143.6,91056.9,7.95,EUR,Sucursal 1 - Oeste
32,6572DD4D,Seguro Automóvil,Cerrado,2019-10-27,,75747.57,0,0,BRL,Sucursal 7 - Norte
33,6572DD4D,Leasing,Cancelado,2018-12-09,,14055.78,0,0,BRL,Sucursal 1 - Oeste
34,6572DD4D,CDT,En proceso de aprobación,2022-01-01,2024-12-02,41088.25,0,9.87,CLP,Sucursal 3 - Este
35,8ECDAC0F,CDT,Vencido,2019-02-08,2021-05-29,59854.3,0,20.76,COP,Sucursal 2 - Sur
36,8ECDAC0F,Fondo Mutuo,En proceso de aprobación,2019-10-01,2020-01-27,93707.72,0,8.15,USD,Sucursal 10 - Norte
37,8ECDAC0F,Fondo Mutuo,Cerrado,2021-01-28,2023-03-11,14841.37,0,17.59,JPY,Sucursal 1 - Oeste
38,8ECDAC0F,Préstamo Automotriz,Bloqueado,2019-04-15,2019-12-14,49736.09,82482.14,4.32,BRL,Sucursal 7 - Norte
39,88FFBC21,CDT,Cerrado,2020-12-27,2021-06-22,8152.0,0,19.64,COP,Sucursal 13 - Centro
